t,P,Q
28.3,7.950569412531813,10.539556719570632
28.35,7.9782403540626285,10.074386236072145
28.400000000000002,8.02421008743011,9.631077969151228
28.450000000000003,8.087918573845451,9.209171901156742
28.5,8.168920017973035,8.808138838537579
28.55,8.26687192515946,8.427397626173414
28.6,8.38152547623692,8.066329758705567
28.650000000000002,8.512717064982482,7.724291738056706
28.700000000000003,8.660360854083764,7.4006254873664625
28.75,8.824442216874118,7.0946670954072735
28.8,9.005011943336136,6.8057541325779365
28.85,9.202181099408703,6.533231749928589
28.900000000000002,9.416116438151422,6.276457746304532
28.950000000000003,9.647036269639278,6.034806765457132
29.0,9.895206703485862,5.807673764649804
29.05,10.160938183585198,5.594476878651311
29.1,10.444582239009485,5.394659787817893
29.150000000000002,10.746528378004307,5.207693685988619
29.200000000000003,11.067201053686533,5.033078932940174
29.25,11.407056630366936,4.870346466974502
29.3,11.76658027837004,4.7190590456754435
29.35,12.146282722769376,4.578812376823218
29.400000000000002,12.546696767537506,4.4492361967771235
29.450000000000003,12.968373511142651,4.329995350229144
29.5,13.411878162497633,4.220790923018657
29.55,13.877785357244173,4.121361478625587
29.6,14.366673863470798,4.031484448989243
29.650000000000002,14.879120552921721,3.9509777314113252
29.700000000000003,15.415693498337298,3.879701545485088
29.75,15.976944039531777,3.81756060724667
29.8,16.563397639904462,3.7645066820682387
29.85,17.175543331037,3.7205415831960815
29.900000000000002,17.813821515611536,3.68572068924804
29.950000000000003,18.478609867899372,3.6601570613498717
30.0,19.17020703642048,3.644026248766055
30.05,19.888813815125427,3.6375718806155724
30.1,20.63451140792902,3.6411121501427526
30.150000000000002,21.407236367353896,3.655047306383533
30.200000000000003,22.206751742743236,3.679868274931063
30.25,23.032613929159933,3.71616653337785
30.3,23.884134668127864,3.7646453657334678
30.35,24.760337620945027,3.8261326105955145
30.400000000000002,25.659908921958877,3.901594995736121
30.450000000000003,26.58114113373951,3.9921541110313084
30.5,27.521870083639907,4.099104004097143
30.55,28.47940418255299,4.223930277621071
30.6,29.450446039665664,4.368330409792897
30.650000000000002,30.431006528315034,4.5342347910474246
30.700000000000003,31.416311974491983,4.723827648758656
30.75,32.40070588889368,4.939566589606633
30.8,33.377547713746765,5.184198897154383
30.85,34.33911248169379,5.460771949980469
30.900000000000002,35.276497159017545,5.772634150125085
30.950000000000003,36.17954182490814,6.123421566377367
31.0,37.03677673320039,6.517024130130298
31.05,37.83540963747245,6.957523760711208
31.1,38.56137131407415,7.449095422847211
31.150000000000002,39.19944055138384,7.995861144213765
31.200000000000003,39.73347225118197,8.601686927969421
31.25,40.14675261795952,9.269913951699804
31.3,40.42250225442661,10.003019270724339
31.35,40.54453968734101,10.802208289398363
31.400000000000002,40.498102906432514,11.66695215009974
31.450000000000003,40.270804147996664,12.594497901149431
31.5,39.85366421683885,13.579396676861004
31.55,39.242140393583185,14.613112376767084
31.6,38.43703264071578,15.683785950642541
31.650000000000002,37.445135110762855,16.77623269911368
31.700000000000003,36.27950320083831,17.872236648617683
31.75,34.95923727360058,18.95117435844958
31.8,33.50874297766088,19.990952740876857
31.85,31.95650630094183,20.969189971650326
31.900000000000002,30.333502334498416,21.864518478830174
31.950000000000003,28.671419793655996,22.657858381640843
32.0,27.000911597614067,23.333508409831317
32.050000000000004,25.350068059525054,23.879930724838903
32.1,23.743258818926215,24.29015845728743
32.15,22.20041794116622,24.56181618827375
32.2,20.736772850186536,24.69679902226506
32.25,19.362958285643053,24.700694248803448
32.300000000000004,18.08542035175413,24.58204636328259
32.35,16.907003981457603,24.351563235851597
32.4,15.827624856940382,24.021344367295523
32.45,14.844946405907809,23.604188574608877
32.5,13.955006526228619,23.113014258260677
32.550000000000004,13.152761662527423,22.560404695583777
32.6,12.432534620519844,21.958275478665374
32.65,11.788365952174903,21.31765147803111
32.7,11.214277139575534,20.648535757938102
32.75,10.70445810979384,19.959851469772257
32.800000000000004,10.253392990172895,19.25943867025429
32.85,9.855937530964443,18.554090218261948
32.9,9.507360122479733,17.84961364155846
32.95,9.203356409755456,17.15090863914954
33.0,8.940045534988847,16.462052414386278
33.050000000000004,8.713954227056753,15.786387187353366
33.1,8.521993404957206,15.126605978945168
33.15,8.361430693391068,14.484834115787551
33.2,8.229861249200074,13.862704924635771
33.25,8.125178533004448,13.261428826103744
33.300000000000004,8.045546090768434,12.681855558381109
33.35,7.989370995651777,12.124529613371038
33.4,7.955279306266072,11.589739193440016
33.45,7.942093693939289,11.07755913120221
33.5,7.948813255151074,10.587888284252772
33.550000000000004,7.974595437483,10.120481941784373
33.6,8.018739954168849,9.674979775562603
33.65,8.080674533120526,9.250929844659606
33.7,8.159942333423404,8.847809129357895
33.75,8.256190860154963,8.465041030083956
33.800000000000004,8.369162213003376,8.10201022572737
